borough_code,borough_name,nta_code,nta_name,total_pop,hispanic_no,hispanic_pc,white_no,white_pc,black_no,black_pc,asian_no,asian_pc,non_white_pc
3,Brooklyn,BK09,Brooklyn Heights-Cobble Hill,24168,1770,7.3,17538,72.6,1400,5.8,2236,9.3,27.400000000000006
3,Brooklyn,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,65631,6021,9.2,40943,62.4,4254,6.5,12973,19.8,37.6
3,Brooklyn,BK19,Brighton Beach,34431,3673,10.7,24524,71.2,234,0.7,4745,13.8,28.799999999999997
3,Brooklyn,BK21,Seagate-Coney Island,32259,8992,27.9,10240,31.7,9430,29.2,2808,8.7,68.3
3,Brooklyn,BK23,West Brighton,16774,660,3.9,15525,92.6,280,1.7,139,0.8,7.400000000000006
3,Brooklyn,BK25,Homecrest,45007,5294,11.8,32757,72.8,868,1.9,4427,9.8,27.200000000000003
3,Brooklyn,BK26,Gravesend,30587,6396,20.9,13511,44.2,2300,7.5,7118,23.3,55.8
3,Brooklyn,BK27,Bath Beach,33020,5975,18.1,13595,41.2,368,1.1,12242,37.1,58.8
3,Brooklyn,BK28,Bensonhurst West,90847,15263,16.8,35048,38.6,831,0.9,38064,41.9,61.4
3,Brooklyn,BK29,Bensonhurst East,65502,8855,13.5,27546,42.1,654,1.0,26887,41.0,57.9
3,Brooklyn,BK30,Dyker Heights,43888,5998,13.7,19200,43.7,405,0.9,17714,40.4,56.3
3,Brooklyn,BK31,Bay Ridge,79187,14421,18.2,48055,60.7,2195,2.8,12284,15.5,39.3
3,Brooklyn,BK32,Sunset Park West,54667,33628,61.5,9783,17.9,1827,3.3,8473,15.5,82.1
3,Brooklyn,BK33,Carroll Gardens-Columbia Street-Red Hook,43766,7561,17.3,25951,59.3,5202,11.9,2575,5.9,40.7
3,Brooklyn,BK34,Sunset Park East,66348,20494,30.9,9663,14.6,952,1.4,34262,51.6,85.4
3,Brooklyn,BK35,Stuyvesant Heights,69260,11885,17.2,8807,12.7,44293,64.0,2305,3.3,87.3
3,Brooklyn,BK37,Park Slope-Gowanus,74731,11783,15.8,49998,66.9,3337,4.5,5704,7.6,33.099999999999994
3,Brooklyn,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,45607,8701,19.1,20285,44.5,9242,20.3,5364,11.8,55.5
