intersection_id,borough,x,y,public_median,private_median,total_median,NTACode,NTAName
AXkw40-x2iuwklCl-qap,Brooklyn,-73.9843439996758,40.6321569998457,"0","1","1",BK88,Borough Park
AXkw406iLVwDtjXR1gOC,Brooklyn,-73.9802659995762,40.6360759998076,"0","0","0",BK88,Borough Park
AXkw4073LVwDtjXR1gOE,Brooklyn,-73.9814320002865,40.6349550002731,"0","1","1",BK88,Borough Park
AXkw407OLVwDtjXR1gOD,Brooklyn,-73.9808500004272,40.6355160000634,"0","2","2",BK88,Borough Park
AXkw40872iuwklCl-qam,Brooklyn,-73.9825980000976,40.6338369999776,"0","0","0",BK88,Borough Park
AXkw409e2iuwklCl-qan,Brooklyn,-73.9831789999109,40.6332790003257,"0","2","2",BK88,Borough Park
AXkw40_f2iuwklCl-qaq,Brooklyn,-73.9849279996274,40.6315970001015,"0","1","1",BK88,Borough Park
AXkw40xP2iuwklCl-qaT,Brooklyn,-73.9799100002463,40.639685999909,"0","4","4",BK88,Borough Park
AXkw4177LVwDtjXR1gPv,Brooklyn,-73.9787699998356,40.6336710004164,"0","1","1",BK88,Borough Park
AXkw41Ah2iuwklCl-qas,Brooklyn,-73.9860930002917,40.6304779997599,"0","5","5",BK88,Borough Park
AXkw41Bp2iuwklCl-qau,Brooklyn,-73.9872590001027,40.6293550001332,"0","4","4",BK88,Borough Park
AXkw41CZ2iuwklCl-qav,Brooklyn,-73.9878420000082,40.6287969995819,"0","0","0",BK88,Borough Park
AXkw41Dk2iuwklCl-qax,Brooklyn,-73.9890089998654,40.6276760000474,"0","2","2",BK88,Borough Park
AXkw41GY2iuwklCl-qa1,Brooklyn,-73.9913396999671,40.6254329002082,"0","4","4",BK88,Borough Park
AXkw41gSLVwDtjXR1gPA,Brooklyn,-73.9789965003881,40.6334525002327,"0","0","0",BK88,Borough Park
AXkw41gzLVwDtjXR1gPB,Brooklyn,-73.9795580002015,40.6329129996353,"0","0","0",BK88,Borough Park
AXkw41ibLVwDtjXR1gPE,Brooklyn,-73.981306999918,40.6312330004027,"0","1","1",BK88,Borough Park
AXkw41jnLVwDtjXR1gPG,Brooklyn,-73.9830530003956,40.6295530002708,"0","0","0",BK88,Borough Park
AXkw41kSLVwDtjXR1gPH,Brooklyn,-73.9836370003472,40.6289929996273,"0","0","0",BK88,Borough Park
AXkw41kwLVwDtjXR1gPI,Brooklyn,-73.9842040004143,40.6284479996755,"0","0","0",BK88,Borough Park
AXkw41leLVwDtjXR1gPJ,Brooklyn,-73.9848040002044,40.6278720000928,"0","1","1",BK88,Borough Park
AXkw41p5LVwDtjXR1gPQ,Brooklyn,-73.9883019996375,40.6245139999212,"0","0","0",BK88,Borough Park
AXkw41q_LVwDtjXR1gPS,Brooklyn,-73.9894880003709,40.6233700002254,"0","5","5",BK88,Borough Park
AXkw420v2iuwklCl-qdz,Brooklyn,-73.9856929998321,40.6201310001456,"0","2","2",BK88,Borough Park
AXkw42EKLVwDtjXR1gP-,Brooklyn,-73.9809990001037,40.6283099996069,"0","3","3",BK88,Borough Park
AXkw42FWLVwDtjXR1gQA,Brooklyn,-73.9821320001916,40.6271710001416,"0","0","0",BK88,Borough Park
AXkw42G_LVwDtjXR1gQB,Brooklyn,-73.9827000003047,40.6265999998901,"0","0","0",BK88,Borough Park
AXkw42Jp2iuwklCl-qcp,Brooklyn,-73.9975570001554,40.6401359999765,"0","2","2",BK88,Borough Park
AXkw42JxLVwDtjXR1gQG,Brooklyn,-73.9855300004091,40.6237580001317,"0","0","0",BK88,Borough Park
AXkw42K0LVwDtjXR1gQI,Brooklyn,-73.9866725000358,40.6226147999331,"0","0","0",BK88,Borough Park
AXkw42KULVwDtjXR1gQH,Brooklyn,-73.9861009997613,40.6231829996958,"0","2","2",BK88,Borough Park
AXkw42Lo2iuwklCl-qcs,Brooklyn,-73.9993049998258,40.6384549997985,"0","0","0",BK88,Borough Park
AXkw42MO2iuwklCl-qct,Brooklyn,-73.9998889997775,40.6378960001004,"0","1","1",BK88,Borough Park
AXkw42PE2iuwklCl-qcy,Brooklyn,-74.0063390004445,40.6316940000781,"0","0","0",BK88,Borough Park
AXkw42pK2iuwklCl-qde,Brooklyn,-73.9947910003044,40.639371999818,"0","0","0",BK88,Borough Park
AXkw42r32iuwklCl-qdl,Brooklyn,-73.997685999809,40.636565999921,"0","0","0",BK88,Borough Park
AXkw42se2iuwklCl-qdm,Brooklyn,-73.9982650004294,40.6360060001768,"0","0","0",BK88,Borough Park
AXkw42uS2iuwklCl-qdp,Brooklyn,-74.0000160002382,40.6343260000449,"0","0","0",BK88,Borough Park
AXkw42wdLVwDtjXR1gRD,Brooklyn,-73.979817999601,40.6257739995705,"0","0","0",BK88,Borough Park
AXkw42xC2iuwklCl-qds,Brooklyn,-74.0017639999086,40.6326449998669,"0","0","0",BK88,Borough Park
AXkw42xi2iuwklCl-qdt,Brooklyn,-73.9809850003575,40.6246530000359,"0","0","0",BK88,Borough Park
AXkw42yGLVwDtjXR1gRG,Brooklyn,-74.0029509997888,40.6315030002633,"0","0","0",BK88,Borough Park
AXkw42zH2iuwklCl-qdw,Brooklyn,-73.9838999998851,40.6218539995625,"0","0","0",BK88,Borough Park
AXkw433o2iuwklCl-qfi,Brooklyn,-73.990372999814,40.6367050000358,"0","0","0",BK88,Borough Park
AXkw434p2iuwklCl-qfj,Brooklyn,-73.9915389996251,40.6355829995558,"0","0","0",BK88,Borough Park
AXkw435L2iuwklCl-qfk,Brooklyn,-73.9921200003377,40.63502599995,"0","0","0",BK88,Borough Park
AXkw436K2iuwklCl-qfm,Brooklyn,-73.9932840000565,40.6339059995623,"0","1","1",BK88,Borough Park
AXkw438I2iuwklCl-qfq,Brooklyn,-73.9956169997247,40.6316669997323,"0","0","0",BK88,Borough Park
AXkw43LDLVwDtjXR1gRv,Brooklyn,-73.9867310000356,40.64357400024,"0","5","5",BK88,Borough Park
AXkw43LlLVwDtjXR1gRw,Brooklyn,-73.9873250004484,40.6430749997115,"0","0","0",BK88,Borough Park
AXkw43N7LVwDtjXR1gR0,Brooklyn,-73.9896620003011,40.6408359998815,"0","0","0",BK88,Borough Park
AXkw43PTLVwDtjXR1gR2,Brooklyn,-73.9908229998815,40.6397170004392,"0","3","3",BK88,Borough Park
AXkw43RvLVwDtjXR1gR6,Brooklyn,-73.9931530003107,40.6374759996177,"0","2","2",BK88,Borough Park
AXkw43SuLVwDtjXR1gR8,Brooklyn,-73.9943190001217,40.63635299999,"0","0","0",BK88,Borough Park
AXkw43U-LVwDtjXR1gSA,Brooklyn,-73.9966499996977,40.6341150002071,"0","0","0",BK88,Borough Park
AXkw43W92iuwklCl-qeq,Brooklyn,-73.9983970002214,40.6324350000752,"0","1","1",BK88,Borough Park
AXkw43ZU2iuwklCl-qeu,Brooklyn,-74.0007479998203,40.6301750001762,"0","0","0",BK88,Borough Park
AXkw43_12iuwklCl-qfv,Brooklyn,-73.9991489998264,40.6282630001374,"0","2","2",BK88,Borough Park
AXkw43ll2iuwklCl-qfD,Brooklyn,-73.9776159996786,40.6244420001982,"0","7","7",BK88,Borough Park
AXkw43nSLVwDtjXR1gSc,Brooklyn,-73.9793620001561,40.6227650002047,"0","0","0",BK88,Borough Park
AXkw43pHLVwDtjXR1gSf,Brooklyn,-73.9822744995685,40.6199611002247,"0","1","1",BK88,Borough Park
AXkw43qJLVwDtjXR1gSh,Brooklyn,-73.9834889998174,40.6187999999201,"0","2","2",BK88,Borough Park
AXkw43qe2iuwklCl-qfM,Brooklyn,-74.0022279997224,40.6287510001586,"0","0","0",BK88,Borough Park
