intersection_id,borough,public_median,private_median,total_median,adjusted_NTACode,adjusted_NTAName
AXkw4-uH2iuwklCl-qox,Brooklyn,"0","1","1",BK88,Borough Park
AXkw40-B2iuwklCl-qao,Brooklyn,"0","0","0",BK88,Borough Park
AXkw40-x2iuwklCl-qap,Brooklyn,"0","1","1",BK88,Borough Park
AXkw405zLVwDtjXR1gOB,Brooklyn,"0","1","1",BK88,Borough Park
AXkw406iLVwDtjXR1gOC,Brooklyn,"0","0","0",BK88,Borough Park
AXkw4073LVwDtjXR1gOE,Brooklyn,"0","1","1",BK88,Borough Park
AXkw407OLVwDtjXR1gOD,Brooklyn,"0","2","2",BK88,Borough Park
AXkw40872iuwklCl-qam,Brooklyn,"0","0","0",BK88,Borough Park
AXkw409e2iuwklCl-qan,Brooklyn,"0","2","2",BK88,Borough Park
AXkw40_f2iuwklCl-qaq,Brooklyn,"0","1","1",BK88,Borough Park
AXkw40xP2iuwklCl-qaT,Brooklyn,"0","4","4",BK88,Borough Park
AXkw4177LVwDtjXR1gPv,Brooklyn,"0","1","1",BK88,Borough Park
AXkw41Ah2iuwklCl-qas,Brooklyn,"0","5","5",BK88,Borough Park
AXkw41Bp2iuwklCl-qau,Brooklyn,"0","4","4",BK88,Borough Park
AXkw41CZ2iuwklCl-qav,Brooklyn,"0","0","0",BK88,Borough Park
AXkw41DB2iuwklCl-qaw,Brooklyn,"0","0","0",BK88,Borough Park
AXkw41Dk2iuwklCl-qax,Brooklyn,"0","2","2",BK88,Borough Park
AXkw41FL2iuwklCl-qaz,Brooklyn,"0","1","1",BK88,Borough Park
AXkw41Fr2iuwklCl-qa0,Brooklyn,"0","0","0",BK88,Borough Park
AXkw41GY2iuwklCl-qa1,Brooklyn,"0","4","4",BK88,Borough Park
AXkw41G_2iuwklCl-qa2,Brooklyn,"0","2","2",BK88,Borough Park
AXkw41gSLVwDtjXR1gPA,Brooklyn,"0","0","0",BK88,Borough Park
AXkw41gzLVwDtjXR1gPB,Brooklyn,"0","0","0",BK88,Borough Park
AXkw41h0LVwDtjXR1gPD,Brooklyn,"0","0","0",BK88,Borough Park
AXkw41hVLVwDtjXR1gPC,Brooklyn,"0","0","0",BK88,Borough Park
AXkw41ibLVwDtjXR1gPE,Brooklyn,"0","1","1",BK88,Borough Park
AXkw41jnLVwDtjXR1gPG,Brooklyn,"0","0","0",BK88,Borough Park
AXkw41kSLVwDtjXR1gPH,Brooklyn,"0","0","0",BK88,Borough Park
AXkw41kwLVwDtjXR1gPI,Brooklyn,"0","0","0",BK88,Borough Park
AXkw41leLVwDtjXR1gPJ,Brooklyn,"0","1","1",BK88,Borough Park
AXkw41m5LVwDtjXR1gPL,Brooklyn,"0","0","0",BK88,Borough Park
AXkw41mKLVwDtjXR1gPK,Brooklyn,"0","0","0",BK88,Borough Park
AXkw41noLVwDtjXR1gPM,Brooklyn,"0","0","0",BK88,Borough Park
AXkw41oLLVwDtjXR1gPN,Brooklyn,"0","0","0",BK88,Borough Park
AXkw41p5LVwDtjXR1gPQ,Brooklyn,"0","0","0",BK88,Borough Park
AXkw41paLVwDtjXR1gPP,Brooklyn,"0","0","0",BK88,Borough Park
AXkw41q_LVwDtjXR1gPS,Brooklyn,"0","5","5",BK88,Borough Park
AXkw41qbLVwDtjXR1gPR,Brooklyn,"0","1","1",BK88,Borough Park
AXkw420N2iuwklCl-qdy,Brooklyn,"0","0","0",BK88,Borough Park
AXkw420v2iuwklCl-qdz,Brooklyn,"0","2","2",BK88,Borough Park
AXkw42CpLVwDtjXR1gP7,Brooklyn,"0","0","0",BK88,Borough Park
AXkw42DxLVwDtjXR1gP9,Brooklyn,"0","4","4",BK88,Borough Park
AXkw42EKLVwDtjXR1gP-,Brooklyn,"0","3","3",BK88,Borough Park
AXkw42FWLVwDtjXR1gQA,Brooklyn,"0","0","0",BK88,Borough Park
AXkw42G_LVwDtjXR1gQB,Brooklyn,"0","0","0",BK88,Borough Park
AXkw42IJLVwDtjXR1gQD,Brooklyn,"0","2","2",BK88,Borough Park
AXkw42JxLVwDtjXR1gQG,Brooklyn,"0","0","0",BK88,Borough Park
AXkw42K0LVwDtjXR1gQI,Brooklyn,"0","0","0",BK88,Borough Park
AXkw42K82iuwklCl-qcr,Brooklyn,"0","3","3",BK88,Borough Park
AXkw42KULVwDtjXR1gQH,Brooklyn,"0","2","2",BK88,Borough Park
AXkw42Kc2iuwklCl-qcq,Brooklyn,"0","2","2",BK88,Borough Park
AXkw42Lo2iuwklCl-qcs,Brooklyn,"0","0","0",BK88,Borough Park
AXkw42MO2iuwklCl-qct,Brooklyn,"0","1","1",BK88,Borough Park
AXkw42N_2iuwklCl-qcw,Brooklyn,"0","1","1",BK88,Borough Park
AXkw42Nd2iuwklCl-qcv,Brooklyn,"0","3","3",BK88,Borough Park
AXkw42PE2iuwklCl-qcy,Brooklyn,"0","0","0",BK88,Borough Park
AXkw42pK2iuwklCl-qde,Brooklyn,"0","0","0",BK88,Borough Park
AXkw42pq2iuwklCl-qdg,Brooklyn,"0","0","0",BK88,Borough Park
AXkw42qM2iuwklCl-qdi,Brooklyn,"0","0","0",BK88,Borough Park
AXkw42r32iuwklCl-qdl,Brooklyn,"0","0","0",BK88,Borough Park
AXkw42rM2iuwklCl-qdk,Brooklyn,"0","1","1",BK88,Borough Park
AXkw42se2iuwklCl-qdm,Brooklyn,"0","0","0",BK88,Borough Park
