BoroCode,BoroName,CountyFIPS,NTACode,NTAName,Shape_Leng,Shape_Area,NUMPOINTS
"3",Brooklyn,"047",BK88,Borough Park,39247.2278309,54005019.048,25
"4",Queens,"081",QN51,Murray Hill,33266.9048721,52488277.5915,15
"4",Queens,"081",QN27,East Elmhurst,19816.7121316,19726845.5925,21
"4",Queens,"081",QN07,Hollis,20976.3357814,22887772.991,18
"3",Brooklyn,"047",BK25,Homecrest,27514.0229182,29991967.283,32
"4",Queens,"081",QN41,Fresh Meadows-Utopia,22106.431364,27774853.6241,15
"4",Queens,"081",QN08,St. Albans,45401.3169796,77412748.1432,67
"3",Brooklyn,"047",BK44,Madison,26237.2578576,27379162.0825,40
"3",Brooklyn,"047",BK41,Kensington-Ocean Parkway,20800.7523583,15893305.1584,11
"3",Brooklyn,"047",BK95,Erasmus,18756.702033,14522603.6277,73
"2",Bronx,"005",BX33,Longwood,18982.1300681,10732452.0604,81
"3",Brooklyn,"047",BK69,Clinton Hill,23971.4660272,20528197.3105,94
"4",Queens,"081",QN33,Cambria Heights,26168.2700874,33076797.8818,24
"3",Brooklyn,"047",BK43,Midwood,27996.5906116,35799574.385,22
"3",Brooklyn,"047",BK26,Gravesend,39922.6741562,31341950.2792,32
"3",Brooklyn,"047",BK29,Bensonhurst East,33903.2454327,35777947.5905,59
"3",Brooklyn,"047",BK72,Williamsburg,16874.4338341,11589988.1434,9
"3",Brooklyn,"047",BK75,Bedford,29992.9237998,32629789.0625,150
"3",Brooklyn,"047",BK35,Stuyvesant Heights,28239.0808904,31406935.9813,175
"3",Brooklyn,"047",BK96,Rugby-Remsen Village,30957.8542367,32706946.3129,109
"2",Bronx,"005",BX31,Allerton-Pelham Gardens,25467.1174253,31693044.2846,21
"3",Brooklyn,"047",BK91,East Flatbush-Farragut,39201.03818,34360864.5533,86
"3",Brooklyn,"047",BK78,Bushwick South,40735.742589,40169452.3251,141
"3",Brooklyn,"047",BK77,Bushwick North,26321.6269519,24927927.1861,74
"4",Queens,"081",QN20,Ridgewood,40608.5128653,50495176.2139,64
"3",Brooklyn,"047",BK46,Ocean Parkway South,21975.9973189,17782095.7562,6
"4",Queens,"081",QN68,Queensbridge-Ravenswood-Long Island City,27067.6525332,23317032.8329,66
"2",Bronx,"005",BX08,West Farms-Bronx River,17477.2947609,15084986.2976,46
"2",Bronx,"005",BX46,Parkchester,12411.7882087,9184677.09953,14
"2",Bronx,"005",BX55,Soundview-Bruckner,19756.5597869,16253358.2826,67
"4",Queens,"081",QN19,Glendale,41514.4350803,30016735.5958,13
"2",Bronx,"005",BX28,Van Cortlandt Village,21945.7199799,25666125.0281,59
"1",Manhattan,"061",MN15,Clinton,34481.6287726,18362149.2813,140
"4",Queens,"081",QN34,Queens Village,41782.400567,69533432.9101,62
"4",Queens,"081",QN21,Middle Village,42675.5484842,57684905.6358,34
"2",Bronx,"005",BX62,Woodlawn-Wakefield,38694.0407053,39738786.4184,37
"2",Bronx,"005",BX07,Bronxdale,17432.1761124,15185447.5266,54
"3",Brooklyn,"047",BK85,East New York (Pennsylvania Ave),24226.8512514,19397526.6143,106
"4",Queens,"081",QN55,South Ozone Park,36708.1693635,82461392.921,85
"3",Brooklyn,"047",BK27,Bath Beach,22383.7432331,20534620.8186,10
"3",Brooklyn,"047",BK28,Bensonhurst West,37137.4391704,46670569.5071,64
"4",Queens,"081",QN30,Maspeth,41265.6434598,35633161.0127,23
"4",Queens,"081",QN23,College Point,59454.7497423,50553980.3679,23
"2",Bronx,"005",BX98,Rikers Island,18898.1162794,18163827.5996,0
"5",Staten Island,"085",SI48,Arden Heights,29689.3955312,50410816.2219,8
"2",Bronx,"005",BX52,Schuylerville-Throgs Neck-Edgewater Park,91304.7948076,88439964.0531,57
"5",Staten Island,"085",SI01,Annadale-Huguenot-Prince's Bay-Eltingville,71174.5830099,141057788.612,23
"1",Manhattan,"061",MN25,Battery Park City-Lower Manhattan,43738.4961244,19014298.8186,65
"1",Manhattan,"061",MN14,Lincoln Square,19869.9083138,15805586.3139,95
"1",Manhattan,"061",MN17,Midtown-Midtown South,27032.700221,30191534.3299,198
"1",Manhattan,"061",MN40,Upper East Side-Carnegie Hill,23778.4103624,20065364.316,153
"2",Bronx,"005",BX26,Highbridge,18506.3101376,16457635.3676,52
"3",Brooklyn,"047",BK21,Seagate-Coney Island,51874.9555438,38782030.7333,153
"2",Bronx,"005",BX22,North Riverdale-Fieldston-Riverdale,31851.1424549,49048279.0903,14
"2",Bronx,"005",BX29,Spuyten Duyvil-Kingsbridge,27990.7883939,23214112.6801,34
"3",Brooklyn,"047",BK40,Windsor Terrace,19033.6717366,14041668.0837,4
"3",Brooklyn,"047",BK50,Canarsie,43718.6659829,82098856.469,228
"3",Brooklyn,"047",BK42,Flatbush,38737.8532129,45254807.5576,103
"3",Brooklyn,"047",BK58,Flatlands,40635.2753424,54341776.2037,110
"4",Queens,"081",QN45,Douglas Manor-Douglaston-Little Neck,45784.4581066,68394170.1188,13
"2",Bronx,"005",BX09,Soundview-Castle Hill-Clason Point-Harding Park,67340.9793737,51983797.607,137
"3",Brooklyn,"047",BK37,Park Slope-Gowanus,31476.8086429,42509225.949,104
"5",Staten Island,"085",SI11,Charleston-Richmond Valley-Tottenville,84848.4551217,145674612.035,39
"5",Staten Island,"085",SI32,Rossville-Woodrow,33247.2589139,64963357.8609,9
"1",Manhattan,"061",MN32,Yorkville,17998.7206133,13602063.8367,78
"4",Queens,"081",QN48,Auburndale,32452.0596736,34164915.1869,15
"4",Queens,"081",QN52,East Flushing,25848.5454175,29453683.4814,10
"2",Bronx,"005",BX35,Morrisania-Melrose,27740.8462489,16891753.4982,103
"1",Manhattan,"061",MN01,Marble Hill-Inwood,31844.4094213,17732688.6953,91
"1",Manhattan,"061",MN13,Hudson Yards-Chelsea-Flatiron-Union Square,45693.074601,37068381.8903,169
"1",Manhattan,"061",MN23,West Village,28621.651152,24970650.149,160
"1",Manhattan,"061",MN12,Upper West Side,29160.206532,34379942.4562,216
"2",Bronx,"005",BX43,Norwood,22150.3082205,15724928.3207,78
"2",Bronx,"005",BX05,Bedford Park-Fordham North,22565.481193,14998883.4758,130
"2",Bronx,"005",BX40,Fordham South,15880.3520716,6308875.23637,70
"2",Bronx,"005",BX41,Mount Hope,18937.2481527,14716710.8358,121
"2",Bronx,"005",BX03,Eastchester-Edenwald-Baychester,59164.9994492,40256794.3486,38
