BoroCode,BoroName,NTACode,NTAName,hhiu10E,hhiu10P,hhi10t14E,hhi10t14P,hhi15t24E,hhi15t24P,hhi25t34E,hhi25t34P,hhi35t49E,hhi35t49P,hhi50t74E,hhi50t74P,hhi75t99E,hhi75t99P,hi100t149E,hi100t149P,hi150t199E,hi150t199P,hhi200plE,hhi200plP,mdhhincE,mnhhincE
"3",Brooklyn,BK88,Borough Park,1887,7.3,2283,8.8,4157,16.1,3378,13.1,3128,12.1,3488,13.5,2404,9.3,2764,10.7,1258,4.9,1110,4.3,41018,64990
"4",Queens,QN51,Murray Hill,1428,8.2,802,4.6,2364,13.6,1786,10.2,1856,10.7,2980,17.1,1981,11.4,2293,13.2,928,5.3,1007,5.8,53758,73597
"4",Queens,QN27,East Elmhurst,426,7.7,215,3.9,592,10.7,607,11,864,15.6,870,15.7,721,13,816,14.7,236,4.3,194,3.5,52231,67905
"4",Queens,QN07,Hollis,303,4.8,239,3.8,543,8.6,393,6.2,567,9,1138,18.1,906,14.4,1031,16.4,706,11.2,472,7.5,74216,88956
"1",Manhattan,MN06,Manhattanville,1514,17.8,1047,12.3,808,9.5,825,9.7,1089,12.8,891,10.5,850,10,846,10,347,4.1,281,3.3,35612,55639
"3",Brooklyn,BK25,Homecrest,957,6.1,1218,7.8,1670,10.6,1624,10.3,1773,11.3,2350,15,1694,10.8,2353,15,952,6.1,1116,7.1,56603,83996
"2",Bronx,BX59,Westchester-Unionport,929,10.2,716,7.9,1023,11.2,906,10,983,10.8,1526,16.8,1085,11.9,1214,13.3,436,4.8,282,3.1,49850,63935
"4",Queens,QN41,Fresh Meadows-Utopia,398,6,183,2.8,398,6,550,8.3,651,9.8,1123,16.9,819,12.3,1150,17.3,817,12.3,564,8.5,75717,94530
"4",Queens,QN08,St. Albans,628,4,646,4.1,899,5.7,1206,7.7,1543,9.8,2705,17.2,2276,14.5,3205,20.4,1487,9.5,1106,7,77455,93423
"4",Queens,QN06,Jamaica Estates-Holliswood,240,2.6,279,3,834,8.9,661,7.1,1240,13.3,1742,18.7,1178,12.6,1411,15.1,753,8.1,1000,10.7,70568,97199
"3",Brooklyn,BK44,Madison,941,6.3,826,5.5,1349,9.1,1081,7.3,1703,11.4,2228,15,1784,12,2508,16.8,1037,7,1445,9.7,67254,90492
"3",Brooklyn,BK41,Kensington-Ocean Parkway,492,4.1,917,7.6,1294,10.7,977,8.1,1644,13.6,2070,17.1,1467,12.1,1861,15.4,719,5.9,645,5.3,57168,76511
"3",Brooklyn,BK95,Erasmus,950,9.4,600,5.9,762,7.5,1246,12.3,1417,14,1710,16.9,1281,12.6,1295,12.8,466,4.6,406,4,51262,68024
"2",Bronx,BX33,Longwood,1537,16.7,1385,15.1,1241,13.5,1255,13.7,1222,13.3,1115,12.1,639,7,542,5.9,133,1.4,114,1.2,28183,42083
"3",Brooklyn,BK69,Clinton Hill,1338,8,801,4.8,693,4.2,992,6,1550,9.3,2201,13.2,2360,14.2,2910,17.5,1715,10.3,2070,12.4,82839,109468
