IntersectionId,n_private_cameras,borough,nta_code,nta_name,PanoramaId,ImageDate,Lat,Long
AXjK_-0aLVwDtjXR1esO,1.0,The Bronx,BX07,Bronxdale,kQTtiuw_dBjZuFsL7WsVvw,2020-10,40.85967566106898,-73.85977223213922
AXjK_-3agxjkLnQCdqZy,2.0,The Bronx,BX49,Pelham Parkway,ijnxOWll9mWyEhBm7GJE4Q,2019-09,40.85436517221993,-73.86871264171286
AXjK_-5agxjkLnQCdqZ1,1.0,The Bronx,BX31,Allerton-Pelham Gardens,wGbAgXCyJnIXkDy2lFNieQ,2020-10,40.85895648081834,-73.83624986913345
AXjK_-5dLVwDtjXR1esV,3.0,The Bronx,BX75,Crotona Park East,sva9ZrGSRg0ON4-j6wnnDg,2019-10,40.83256349986164,-73.88535236962001
AXjK_-6kLVwDtjXR1esX,2.0,The Bronx,BX75,Crotona Park East,uvEWOAnQ-7eAYh0s7olczQ,2019-11,40.8359175,-73.8834742
AXjK_-7LLVwDtjXR1esY,2.0,The Bronx,BX75,Crotona Park East,UHG0fj01E1qRhiJeSG5sVw,2019-10,40.83092669065262,-73.88644183070402
AXjK_-83LVwDtjXR1esb,4.0,The Bronx,BX26,Highbridge,dwj-lqy_SEehxQNU6IKh7w,2019-09,40.8438897504841,-73.9241560027026
AXjK_-8lgxjkLnQCdqZ6,1.0,The Bronx,BX31,Allerton-Pelham Gardens,bALbGATapvGOVgGQdID7VQ,2020-10,40.85903037380115,-73.83713630432084
AXjK_-ARLVwDtjXR1eq9,1.0,The Bronx,BX29,Spuyten Duyvil-Kingsbridge,1eLhQCdkiPEFpwpm-3eQbw,2019-10,40.88600322034235,-73.91182972497101
AXjK_-AlgxjkLnQCdqYj,4.0,The Bronx,BX41,Mount Hope,PJZTn1WsLXgDngUBNLMVoA,2019-08,40.84618870698033,-73.90931005562976
AXjK_-BKgxjkLnQCdqYk,2.0,The Bronx,BX34,Melrose South-Mott Haven North,9D5xCw9YmsmZetkGx8y8Dw,2016-08,40.82092086058829,-73.92109429704087
AXjK_-FbgxjkLnQCdqYr,2.0,The Bronx,BX39,Mott Haven-Port Morris,Phs3SC0tNqBaH3sW_US2uw,2019-08,40.8090510755294,-73.91479447736458
AXjK_-G3LVwDtjXR1erI,1.0,The Bronx,BX30,Kingsbridge Heights,rx9hWxrDIwZ3mclrETOSKw,2019-10,40.8601047,-73.906126
AXjK_-GALVwDtjXR1erH,1.0,The Bronx,BX30,Kingsbridge Heights,e4Lifi9cC4hvXMJs1TvhJA,2019-10,40.8614103,-73.9049599
AXjK_-GAgxjkLnQCdqYs,2.0,The Bronx,BX28,Van Cortlandt Village,pMBSiW_VHDyEQrUuni83jg,2014-06,40.87600777088269,-73.90125374923909
AXjK_-HsgxjkLnQCdqYu,2.0,The Bronx,BX07,Bronxdale,lEfhKXxbRHSEhaKRBiHJoA,2018-09,40.86782981988021,-73.86349412822669
AXjK_-Q3LVwDtjXR1erX,5.0,The Bronx,BX41,Mount Hope,fqSvcNZVLcQZkWjATyVwrA,2019-10,40.84877154248328,-73.89890883202402
AXjK_-TrgxjkLnQCdqZB,2.0,The Bronx,BX07,Bronxdale,ZEOKr-Yqu_lcTWO1NjDvag,2018-05,40.86781183521786,-73.86257518258049
AXjK_-VPLVwDtjXR1ere,4.0,The Bronx,BX46,Parkchester,GQ5V6ALJlhW84WWpExTN1w,2019-11,40.83614034849585,-73.85962168610055
AXjK_-WVgxjkLnQCdqZF,1.0,The Bronx,BX07,Bronxdale,9cK4ulvRfC-yeHea_WZLyA,2019-08,40.86791245799011,-73.868362847105
AXjK_-ZXLVwDtjXR1erk,1.0,The Bronx,BX49,Pelham Parkway,b6MyF0WTRx58wHah9uLKLA,2019-07,40.8555241814517,-73.86050508222075
AXjK_-_RLVwDtjXR1esf,1.0,The Bronx,BX75,Crotona Park East,YSt0oUyEptHb17M7hMXjcA,2019-10,40.83397651864316,-73.89527341843603
AXjK_-b6LVwDtjXR1erp,3.0,The Bronx,BX07,Bronxdale,bbo8w3aOoQVzo7w2CyDNnw,2019-08,40.86780495284231,-73.86438716981193
AXjK_-bHLVwDtjXR1ern,3.0,The Bronx,BX49,Pelham Parkway,FWLUC3VjeYX9m2weED3QHw,2019-07,40.8566774215095,-73.86474628634261
AXjK_-cOgxjkLnQCdqZN,1.0,The Bronx,BX10,Pelham Bay-Country Club-City Island,zEabXVhN4nIakSpKVM7Bdg,2019-10,40.84074568453918,-73.78685508991111
AXjK_-jCLVwDtjXR1erz,1.0,The Bronx,BX17,East Tremont,bBFKv5hIsDpauBQob2vIpg,2019-08,40.84702277825846,-73.89301752681777
AXjK_-kqgxjkLnQCdqZU,1.0,The Bronx,BX49,Pelham Parkway,IICWFbQEWOp5BVvS0Au6Lw,2019-07,40.85493054373502,-73.8610352094089
AXjK_-mCLVwDtjXR1er3,2.0,The Bronx,BX13,Co-op City,jjbEMKjRO36tFOwmNtQ7eQ,2020-10,40.88211429874232,-73.83664562731744
AXjK_-olgxjkLnQCdqZa,1.0,The Bronx,BX06,Belmont,FShKyxQahga21cmg9E1bHw,2019-11,40.85645741854167,-73.88679562983998
AXjK_-pLgxjkLnQCdqZb,2.0,The Bronx,BX06,Belmont,pnfl88YSKYnSy8UojPkEgA,2019-11,40.85741792342398,-73.88609695082458
AXjK_-pvgxjkLnQCdqZc,2.0,The Bronx,BX06,Belmont,uGPeo2tR7OcATnol1Xs-qw,2019-11,40.8584399,-73.8851273
AXjK_-qtLVwDtjXR1er_,5.0,The Bronx,BX09,Soundview-Castle Hill-Clason Point-Harding Park,1Lw1EM7HJoLpp7XxjGk6iQ,2019-10,40.8061723,-73.8557083
