IntersectionId,n_public_cameras,borough,nta_code,nta_name,PanoramaId,ImageDate,Lat,Long
AXjK_--uLVwDtjXR1ese,1,The Bronx,BX49,Pelham Parkway,bebwdVkWcKQRIrqFnHQodQ,2019-10,40.85662416,-73.86924503
AXjK_-S5LVwDtjXR1era,2,The Bronx,BX39,Mott Haven-Port Morris,vgdEAzgOoGD287jRRscaMA,2019-08,40.8124052,-73.9297319
AXjK_-_0LVwDtjXR1esg,1,The Bronx,BX49,Pelham Parkway,yUykrkvjgUY463ppzqIFmw,2019-10,40.8571994,-73.86884
AXjK_-n-gxjkLnQCdqZZ,1,The Bronx,BX06,Belmont,2wsrn_tcq419toK260JR-Q,2019-11,40.85554412,-73.88754452
AXjK_-xKLVwDtjXR1esJ,2,The Bronx,BX07,Bronxdale,NDV9dRwqlqvwW5-1Irluww,2019-11,40.85954705,-73.86735083
AXjK_5VjLVwDtjXR1ej6,2,The Bronx,BX34,Melrose South-Mott Haven North,hsNP3H6T3bIskqrCCYefBQ,2019-09,40.81613152,-73.91754831
AXjK_5_TgxjkLnQCdqSX,1,The Bronx,BX35,Morrisania-Melrose,N5QnRrEVfVapkkDTNA2ubQ,2019-10,40.8313983,-73.8998124
AXjK_5g0LVwDtjXR1ekF,1,The Bronx,BX09,Soundview-Castle Hill-Clason Point-Harding Park,MuTivQst9CBYjRFn9xyMkA,2019-07,40.82167692,-73.86687244
AXjK_5t_LVwDtjXR1ekZ,1,The Bronx,BX09,Soundview-Castle Hill-Clason Point-Harding Park,DyNHj4q1_BrOaYCmX8sJng,2019-10,40.81828975,-73.86313625
AXjK_5veLVwDtjXR1ekc,2,The Bronx,BX30,Kingsbridge Heights,elXhHM74IswHOHqp5AFxWA,2019-10,40.86555499,-73.90843903
AXjK_5wtgxjkLnQCdqSE,1,The Bronx,BX28,Van Cortlandt Village,d2lcT4u2Cvf9OuJQ-hCx1Q,2019-10,40.87450745,-73.89169348
AXjK_6FzgxjkLnQCdqSd,1,The Bronx,BX29,Spuyten Duyvil-Kingsbridge,srMA0BNd-kYLi3zUSWugwQ,2019-10,40.87682602,-73.90634371
